word,real_word,index,rank,count,sentence
poison,poison,11489,10000,2,"""You have good poison?"
rifle,rifle,11670,10008,1,"I felt his heart beating like the heart of a dying bird, shot with someone's rifle..."
warfare,warfare,3289,10012,1,Is the warfare between the sheep and the flowers not important?
accord,according,5059,10024,1,"But, according to my science of government, I shall wait until conditions are favourable."""
modest,modest,3770,10026,2,"""Yes,"" I answered, modestly."
fatigue,fatigue,729,10055,1,"And yet my little man seemed neither to be straying uncertainly among the sands, nor to be fainting from fatigue or hunger or thirst or fear."
coil,coil,8100,10074,1,"He was beginning to be afraid he had come to the wrong planet, when a coil of gold, the colour of the moonlight, flashed across the sand."
twilight,twilight,2837,10122,1,You can see the day end and the twilight falling whenever you like...
eighth,eighth,10221,10139,1,"It was now the eighth day since I had had my accident in the desert, and I had listened to the story of the merchant as I was drinking the last drop of my water supply."
granite,granite,8361,10157,1,"""You move me to pity-- you are so weak on this Earth made of granite,"" the snake said."
distinguish,distinguish,386,10269,2,At a glance I can distinguish China from Arizona.
patience,patience,957,10278,1,"By this time my patience was exhausted, because I was in a hurry to start taking my engine apart."
stir,stirred,7419,10284,2,The geographer was suddenly stirred to excitement.
drawer,drawer,6365,10288,1,"And then I put this paper in a drawer and lock it with a key."""
pile,piled,8015,10302,1,All humanity could be piled up on a small Pacific islet.
goodbye,Goodbye,4291,10323,7,"""Goodbye,"" he said to the flower."
loyalty,loyalty,10700,10344,1,"As his lips opened slightly with the suspicious of a half-smile, I said to myself, again: ""What moves me so deeply, about this little prince who is sleeping here, is his loyalty to a flower-- the image of a rose that shines through his whole being like the flame of a lamp, even when he is asleep..."""
beating,beating,11661,10348,1,"I felt his heart beating like the heart of a dying bird, shot with someone's rifle..."
faithful,faithful,6835,10349,2,"As the little prince watched him, he felt that he loved this lamplighter who was so faithful to his orders."
leap,leaped,11530,10365,1,"I dropped my eyes, then, to the foot of the wall-- and I leaped into the air."
sailor,sailor,589,10379,1,I was more isolated than a shipwrecked sailor on a raft in the middle of the ocean.
caravan,caravan,8451,10396,1,The flower had once seen a caravan passing.
carriage,carriage,5182,10516,1,There is no room here for a carriage.
bud,bud,3617,10541,1,"The little prince, who was present at the first appearance of a huge bud, felt at once that some sort of miraculous apparition must emerge from it."
venus,Venus,1428,10586,1,"I knew very well that in addition to the great planets-- such as the Earth, Jupiter, Mars, Venus-- to which we have given names, there are also hundreds of others, some of which are so small that one has a hard time seeing them through the telescope."
simplicity,simplicity,4816,10612,1,"""Over everything,"" said the king, with magnificent simplicity."
sahara,Sahara,534,10671,4,"So I lived my life alone, without anyone that I could really talk to, until I had an accident with my plane in the Desert of Sahara, six years ago."
hiding,hiding,10579,10681,1,My home was hiding a secret in the depths of its heart...
sits,sits,10503,10685,1,"One sits down on a desert sand dune, sees nothing, hears nothing."
grief,grief,1864,10700,2,I have suffered too much grief in setting down these memories.
breeze,breeze,3182,10749,1,He tossed his golden curls in the breeze.
spite,spite,3036,10782,2,"Flowers have thorns just for spite!"""
bucket,bucket,10833,10906,3,"""Everything is ready for use: the pulley, the bucket, the rope..."""
threw,threw,972,10913,1,And I threw out an explanation with it.
katherine,Katherine,7,10961,1,Translated by Katherine Woods
dedication,dedication,82,11000,1,And so I correct my dedication:
recognizes,recognizes,2374,11035,1,"But when it is a bad plant, one must destroy it as soon as possible, the very first instant that one recognizes it."
vanity,vanity,3818,11105,1,"So, too, she began very quickly to torment him with her vanity-- which was, if the truth be known, a little difficult to deal with."
neglect,neglected,2565,11158,3,"He neglected three little bushes..."""
emerge,emerge,3626,11159,1,"The little prince, who was present at the first appearance of a huge bud, felt at once that some sort of miraculous apparition must emerge from it."
blown,blown,3557,11202,1,"But one day, from a seed blown from no one knew where, a new flower had come up; and the little prince had watched very closely over this small sprout which was not like any other small sprouts on his planet."
deed,deeds,4092,11252,1,I ought to have judged by deeds and not by words.
mechanic,mechanic,546,11257,3,"And as I had with me neither a mechanic nor any passengers, I set myself to attempt the difficult repairs all alone."
painter,painter,331,11342,2,"That is why, at the age of six, I gave up what might have been a magnificent career as a painter."
ankle,ankle,8319,11344,2,"He twined himself around the little prince's ankle, like a golden bracelet."
understands,understands,36,11377,2,"I have another reason: this grown-up understands everything, even books about children."
sketch,sketch,11201,11392,1,So then I made a pencil sketch of a muzzle.
firmly,firmly,4990,11406,1,"""You,"" said the little prince firmly."
harsh,harsh,8615,11437,1,"""It is altogether dry, and altogether pointed, and altogether harsh and forbidding."
lyon,Lyon,12933,11460,1,Saint-Exup ry was born in Lyon in .
altogether,altogether,6473,11466,5,"""The grown-ups are certainly altogether extraordinary,"" he said simply, talking to himself as he continued on his journey."
hitler,Hitler,13163,11527,1,France was occupied by Hitler's troops.
fortunately,Fortunately,1527,11598,2,"Fortunately, however, for the reputation of Asteroid B- , a Turkish dictator made a law that his subjects, under pain of death, should change to European costume."
interrupt,interrupted,3926,11623,3,But she interrupted herself at that point.
asleep,asleep,10057,11647,3,"""They are asleep in there, or if they are not asleep they are yawning."
convince,convinced,1765,11659,1,"But if you said to them: ""The planet he came from is Asteroid B- ,"" then they would be convinced, and leave you in peace from their questions."
whoever,whoever,469,11660,1,"But, whoever it was, he, or she, would always say: ""That is a hat."""
upright,upright,4599,11671,2,"So he remained standing upright, and, since he was tired, he yawned."
breathe,breathe,4044,11701,3,One should simply look at them and breathe their fragrance.
lightly,lightly,11811,11723,1,"""I admire you,"" said the little prince, shrugging his shoulders slightly, ""but what is there in that to interest you so much?"""
sadly,sadly,11721,11756,1,"Then, sadly-- ""It is much farther..."
regulate,regulated,7792,11761,1,The movements of this army would be regulated like those of the ballet in the opera.
goodness,goodness,5984,11778,1,"The first time was twenty-two years ago, when some giddy goose fell from goodness knows where."
etiquette,etiquette,4606,11811,1,"""It is contrary to etiquette to yawn in the presence of a king,"" the monarch said to him."
swallow,swallowing,159,11883,3,It was a picture of a boa constrictor in the act of swallowing an animal.
bore,bores,2423,11904,3,It bores clear through it with its roots.
jupiter,Jupiter,1426,11932,1,"I knew very well that in addition to the great planets-- such as the Earth, Jupiter, Mars, Venus-- to which we have given names, there are also hundreds of others, some of which are so small that one has a hard time seeing them through the telescope."
laughter,laughter,1150,11977,5,"And the little prince broke into a lovely peal of laughter, which irritated me very much."
inconsistent,inconsistent,4126,12012,1,Flowers are so inconsistent!
jumped,jumped,615,12017,1,"I jumped to my feet, completely thunderstruck."
administer,administer,6286,12036,1,"""I administer them,"" replied the businessman."
goose,goose,5981,12065,1,"The first time was twenty-two years ago, when some giddy goose fell from goodness knows where."
regret,regretting,5114,12121,3,He was regretting his lost sunset.
reflective,reflective,1276,12135,1,After a reflective silence he answered:
humble,humble,8777,12155,1,"And I should be obliged to pretend that I was nursing her back to life-- for if I did not do that, to humble myself also, she would really allow herself to die..."""
recognise,recognise,12845,12168,1,Look at it carefully so that you will be sure to recognise it in case you travel some day to the African desert.
curl,curls,3180,12222,1,He tossed his golden curls in the breeze.
simplify,simplified,4549,12237,1,He did not know how the world is simplified for kings.
cheer,cheering,52,12252,1,He needs cheering up.
neighbourhood,neighbourhood,4482,12333,1,"He found himself in the neighbourhood of the asteroids , , , , , and ."
fade,faded,3549,12336,1,"One morning they would appear in the grass, and by night they would have faded peacefully away."
weigh,weigh,1639,12382,1,How much does he weigh?
inspire,inspiring,2696,12414,1,When I made the drawing of the baobabs I was carried beyond myself by the inspiring force of urgent necessity.
torn,torn,11208,12416,2,And as I gave it to him my heart was torn.
disappear,disappeared,11587,12421,2,"But, at the noise I made, the snake let himself flow easily across the sand like the dying spray of a fountain, and, in no apparent hurry, disappeared, with a light metallic sound, among the stones."
vineyard,vineyards,9503,12464,1,I can take a walk as far as the vineyards.
